ipOwner,ipOwner_type,ipOwner_scale,ipOwner_commercial,ipOwner_country,ipOwner_region,ipOwner_country_match,ipOwner_abuse_reports,ipOwner_blacklist_flag,ipOwner_vpn_proxy_flag,ipOwner_tor_flag,ipOwner_asn,ipOwner_as_size,ipOwner_as_age,ipOwner_mobile_flag
OOO Syuzhet-A,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Comfort XXI Century Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Vladimirov Vladimir,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Naro-Fominsk Netflow Pool,корпоративная сеть,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
108 Telecom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
For XDSL and FTTX PPPoE Pools and Static Addresses,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
Multifunctional Telecommunications Systems LTD,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Loctelecom PJSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,1000,10,нет
netcup GmbH,дата-центр,международный,да,Германия,Бавария,нет,5,нет,нет,нет,AS197695,1024,8,нет
X-Communication LLP,корпоративная сеть,локальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
ISP Stupino.ru Network,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
FRD Net,ISP,национальный,да,Франция,Иль-де-Франс,да,5,нет,нет,нет,AS12345,256,10,нет
TrytekTeleKom Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Access Net Clients,ISP,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,1000,10,нет
Teleservis-plus LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
MTN Syria,корпоративная сеть,национальный,да,Сирия,Дамаск,да,5,нет,нет,нет,AS12345,1000,10,да
City-Line Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Autonomous Non-Profit Organization Institute of Engineering Physics,госорган,локальный,нет,Россия,Московская область,да,0,нет,нет,нет,12345,256,10,нет
OOO Plej 2000,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Informatsionnye Tekhnologii LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OPTIMASET Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Optimaset,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
SkyNetwork Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,нет,нет,нет,нет,AS12345,256,5,нет
PPPoE Pool for XDSL Links in Birobidjan Town Cetnral Node Bras,ISP,локальный,да,Россия,Еврейская автономная область,да,0,нет,нет,нет,AS12345,256,5,нет
Departament Smolenskoy oblasti po Informatsionnym tekhnologiyam,госорган,локальный,нет,Россия,Смоленская область,да,0,нет,нет,нет,AS12345,256,5,нет
G-Core Labs S.A.,дата-центр,международный,да,Люксембург,,нет,низкое,нет,да,нет,AS20473,1000+,10,нет
OOO Rotak,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Hosteam S.C. Tomasz Groszewski Bartosz Waszak Lukasz Groszewski,корпоративная сеть,локальный,да,Польша,Мазовецкое,да,0,нет,нет,нет,AS202123,256,5,нет
Usanov Aleksandr Yurevich,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
IE Shakhaev Gadzhi Abdurakhmanovich,корпоративная сеть,локальный,да,Россия,Дагестан,да,0,нет,нет,нет,AS12345,256,5,нет
Multiservice Networks Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Internod LLC,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Naltel Net,ISP,национальный,да,Казахстан,Алматинская область,да,5,нет,нет,нет,12345,256,10,нет
CHuprin Valerij Alekseevich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Telko Subnet,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,1000,10,нет
TimeWeb Ltd.,дата-центр,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS49063,256,10,нет
Kursknet.ru Broadband Users,ISP,локальный,да,Россия,Курская область,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Vikom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Dix Telecom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Drustvo za telekomunikacije MTEL DOO,корпоративная сеть,национальный,да,Сербия,Северная Сербия,да,нет,нет,нет,нет,AS202123,256,10,нет
CJSC Kaskad TV,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Uzbektelekom Joint Stock Company,ISP,национальный,коммерческий,Узбекистан,Ташкент,да,5,нет,нет,нет,AS12345,10000,15,нет
Svyazstroi LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Grand Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
PPPoE XDSL Links in Khabarovsk City ATS-715 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,5,нет,нет,нет,AS12345,256,10,нет
T-Mobile Austria GmbH,корпоративная сеть,национальный,да,Австрия,Вена,да,5,нет,нет,нет,AS3320,10000,20,да
PT Telekomunikasi Selular Indonesia,корпоративная сеть,национальный,да,Индонезия,Джакарта,да,низкое,нет,нет,нет,AS4761,1000,20,да
CPE Network,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Vladimirskaya Gorodskaya Set Plus LLC,корпоративная сеть,локальный,да,Россия,Владимирская область,да,0,нет,нет,нет,AS12345,256,5,нет
Limited Liability Company HyperNet,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Pskovline Ltd.,корпоративная сеть,локальный,да,Россия,Псковская область,да,0,нет,нет,нет,AS202020,256,5,нет
Big Telecom JSC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Orenburg TsuS of Privolzhsky branch of CJS Komstar-Regiony,корпоративная сеть,локальный,нет,Россия,Оренбургская область,да,5,нет,нет,нет,AS12345,256,10,нет
Viva LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Society with limited liability MagLAN,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
StavTelecom LLC,корпоративная сеть,локальный,да,Россия,Сибирский,да,5,нет,нет,нет,12345,256,10,нет
DSL Access Network in Moscow Region,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,1000,10,нет
Intercom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
Fitad LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
Saypudinov Ayatula,корпоративная сеть,локальный,да,Казахстан,Алматинская область,да,0,нет,нет,нет,12345,256,5,нет
GLB Bulut Teknolojisi Limited Sirketi,облако,национальный,да,Турция,Стамбул,да,5,нет,да,нет,AS12345,256,10,нет
PE Dyatlov Sergey Vladimirovich,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Ltd IPTelecom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Gorodskie seti OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
GKU MO MOC IKT,госорган,локальный,нет,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Customers P2P,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,да,нет,12345,256,10,нет
Limited Liability Company VolgoGazTelecom,корпоративная сеть,локальный,да,Россия,Нижегородская область,да,5,нет,нет,нет,AS12345,256,10,нет
PE Romankov Dmitry Vladimirovich,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
PTO Videokanal Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Axiom Services Pte. Ltd.,корпоративная сеть,международный,да,Сингапур,,нет,0,нет,да,нет,AS14061,256,5,нет
Comiten Corp LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
GSP Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Alands Telekommunikation Ab,ISP,локальный,да,Финляндия,Аландские острова,да,0,нет,нет,нет,AS20580,256,20,нет
Neolink Grupp LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Hose Gregorio. Moda Ispanii,корпоративная сеть,локальный,да,Испания,Мадрид,да,0,нет,нет,нет,ASN-12345,256,5,нет
Gorodskie Telekommunikatsionnye Sistemy LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Alpha Net Telecom Ltd,ISP,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Indastrial Trejding Lajnteks,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
MTS IPv4 Broadband Network Kirov,корпоративная сеть,национальный,да,Россия,Кировская область,да,5,нет,нет,нет,8359,10000,15,нет
MTS Buryatiya,корпоративная сеть,локальный,да,Россия,Бурятия,да,5,нет,нет,нет,12345,256,10,нет
Kompanon LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
GeoCell LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Botik Technologies Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Ovk - Sfera,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
JSC Firma Center Vnedreniya Protek,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Starlink 1013027374007550021 Wrswpol1 Ipv,ISP,international,TRUE,USA,California,TRUE,5,FALSE,FALSE,FALSE,AS14593,100000,3,FALSE
Best Line Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
ADSL Dynamic Pool,ISP,локальный,да,Россия,Центральный,да,5,нет,нет,нет,12345,256,10,нет
Static and PPPoE XDSL Links in Komsomolsk-at-Amur Town ATS-530 Node,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,0,нет,нет,нет,AS12345,256,5,нет
X-Trim Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Kuban-Telecom Ltd.,ISP,локальный,да,Россия,Краснодарский край,да,5,нет,нет,нет,AS12345,256,10,нет
MTS Kaluga,корпоративная сеть,локальный,да,Россия,Калужская область,да,5,нет,нет,нет,12345,256,10,да
YarTV Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
AO Tele-Service Tula,корпоративная сеть,локальный,да,Россия,Тульская область,да,0,нет,нет,нет,AS12345,256,5,нет
Warsaw 3HCloud,облако,международный,да,Польша,Мазовецкое,да,5,нет,да,нет,AS12345,256,3,нет
Unitel LLC,корпоративная сеть,национальный,да,Узбекистан,Ташкент,да,5,нет,нет,нет,AS197100,256,10,нет
PEKITEL Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
ITGlobalcom Rus LLC,корпоративная сеть,национальный,TRUE,Россия,Москва,TRUE,5,FALSE,FALSE,FALSE,AS12345,256,10,FALSE
Technologii Svyazi Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Aksioma Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
MKTechnologiya Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Baza.net LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Center of Connection Informatic and Telecommunication LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Unecha Television Network Ltd.,корпоративная сеть,локальный,да,Россия,Брянская область,да,0,нет,нет,нет,AS12345,256,5,нет
ZAO Int,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
LLC VISTlink,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
IRONNET Ltd.,корпоративная сеть,национальный,да,США,Вирджиния,да,0,нет,нет,нет,AS12345,256,5,нет
OOO Galaktion,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Fartel Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
OAO Aurat,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
POIG Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Infoline Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Iphome LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Division of JSC Rostovelectrosviaz,корпоративная сеть,локальный,да,Россия,Ростовская область,да,5,нет,нет,нет,AS12345,256,10,нет
Alfatel Plus Ltd,ISP,локальный,да,Болгария,София,да,5,нет,нет,нет,AS12345,256,10,нет
GK Interlogica LLC,корпоративная сеть,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Yeltsin Urfu Ural Federal University,университет,национальный,нет,Россия,Урал,да,0,нет,нет,нет,AS12345,256,10,нет
Kibris,ISP,локальный,да,Кипр,Ларнака,да,5,нет,нет,нет,12345,256,10,нет
LLC Uralpromservice,корпоративная сеть,локальный,да,Россия,Свердловская область,да,5,нет,нет,нет,AS12345,256,10,нет
Luganet,ISP,локальный,да,Украина,Луганская область,да,5,нет,нет,нет,AS12345,256,10,нет
Optik Line LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Seti TV Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Zhigulevsk Cable Network LLC,ISP,локальный,да,Россия,Самарская область,да,5,нет,нет,нет,AS12345,256,10,нет
Dmitrii Aleksandrovich Miasnikov,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO Fito-Grand,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
CloudFlare Inc.,облако,международный,да,США,Калифорния,да,много,нет,да,нет,13335,число IP/префиксов неизвестно,19,нет
Yug-Link Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Promyshlennaya Avtomatika Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Big Data Host LLC,дата-центр,международный,да,США,Калифорния,да,5,нет,да,нет,12345,256,10,нет
TomGate LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
OJSC Tulatelecom Client Leased Link Network,ISP,локальный,да,Россия,Тульская область,да,5,нет,нет,нет,AS12345,256,10,нет
OOO System Service,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
CGI Global Limited,корпоративная сеть,международный,да,Великобритания,Лондон,нет,5,нет,да,нет,AS12345,256,10,нет
MTS SPB,корпоративная сеть,национальный,TRUE,Россия,Санкт-Петербург,TRUE,5,FALSE,FALSE,FALSE,8359,100000,20,TRUE
Barilink LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Shahaev Gadzhi Abdurahmanovich,корпоративная сеть,локальный,да,Россия,Дагестан,да,0,нет,нет,нет,AS12345,256,5,нет
G-Core Innovations S.A R.L.,дата-центр,международный,да,Люксембург,,нет,5,нет,да,нет,202202,1000,5,нет
Digi Spain Telecom S.L.,ISP,национальный,да,Испания,Мадрид,да,5,нет,нет,нет,AS12345,1000,10,нет
OOO Kontakt-Soft-M,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
New Information Technologies Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
New Communications Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Broadcasting Company KTV Plus LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Joint-Stock Company Investpribor,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Smart Telecom Company Network,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO Scientific-Production Enterprise Edma,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Annet Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Telecom Argentina S.A.,ISP,национальный,да,Аргентина,Буэнос-Айрес,да,5,нет,нет,нет,27880,10000,20,нет
OOO Transtelecom,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,1000,10,нет
Zvenigorod PPPoE Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Vto Rosneftegazeksport,корпоративная сеть,национальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,10,нет
OOO Glarus-Trast,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
PPPoE Pool for XDSL Links in Khabarovsk City ATS-21 Node Bras,корпоративная сеть,локальный,да,Россия,Хабаровский край,да,0,нет,нет,нет,AS12345,256,5,нет
Zolotaya Linia JSC.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
CJSC Comstar-Regions,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,8359,256,15,нет
Non-public corporation MASARMAT,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Kubasova Darya Borisovna,корпоративная сеть,локальный,некоммерческий,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Cloud NBG,облако,международный,да,Нидерланды,Норд-Голландия,нет,10,нет,да,нет,AS12345,5000,5,нет
OOO ZelTelecom,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
AlfaTEL OOO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Bospor-Telecom LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
PJSC North-West Telecom,ISP,национальный,да,Россия,Северо-Западный,да,5,нет,нет,нет,8359,10000,20,нет
Megaseti Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Djivaya Voda Ltd.,корпоративная сеть,локальный,да,Болгария,София,да,0,нет,нет,нет,AS12345,256,5,нет
Triple T Broadband Public Company Limited,корпоративная сеть,национальный,да,Таиланд,Бангкок,да,5,нет,нет,нет,AS12345,256,10,нет
Mobile Telecom-Service LLP,корпоративная сеть,локальный,да,Казахстан,Алматинская область,да,5,нет,нет,нет,12345,256,10,да
Biz Telecom LLC,корпоративная сеть,локальный,да,США,Калифорния,да,5,нет,нет,нет,12345,256,10,нет
Kaliningrad Branch of the PJSC Rostelecom North-West Region,корпоративная сеть,национальный,да,Россия,Калининградская область,да,5,нет,нет,нет,AS12389,1024,15,нет
OJSC North-West Telecom Branch Electrosvyas of Vologda Region,корпоративная сеть,локальный,да,Россия,Вологодская область,да,5,нет,нет,нет,AS12345,256,10,нет
Venus Business Communications Limited,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
TOKS Ltd,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Shatura Flate Rate Pool,корпоративная сеть,локальный,да,Россия,Московская область,да,0,нет,нет,нет,AS12345,256,5,нет
Pioner-LAN Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Starlink 1008736466289131587 Wrswpol1 Ipv,облако,международный,да,США,не указано,да,0,нет,нет,нет,1008736466289131587,не указано,не указано,нет
INTERRA Ltd.,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Opticom Group AO,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Tele2 Sverige AB,ISP,национальный,да,Швеция,Сконе,да,5,нет,нет,нет,12552,10000,15,да
ANX Holding GmbH,дата-центр,международный,да,Германия,Бавария,нет,5,нет,нет,нет,AS202020,256,10,нет
Prolink MO.ru Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
OOO Shpalera,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
NOC Net,дата-центр,международный,да,США,Калифорния,да,5,нет,да,нет,AS12345,256,10,нет
TC Overta Ltd. 37/45 Shelkovichnaya STR,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
OOO R Lim,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
IT Outsourcing LLC,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Oleksii Sharienkov,корпоративная сеть,локальный,да,Украина,Киев,да,0,нет,нет,нет,AS12345,256,5,нет
Kovalishin Alexey Sergeevich PE,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
Nika-Telecom LLC,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Intersat Ltd.,корпоративная сеть,международный,да,Великобритания,Лондон,нет,5,нет,нет,нет,AS12345,256,10,нет
Leased Lines VPN,корпоративная сеть,национальный,да,Россия,Центральный,да,5,нет,да,нет,12345,256,10,нет
Resilans AB,корпоративная сеть,национальный,да,Швеция,Стокгольм,да,5,нет,нет,нет,AS12345,256,10,нет
JSC Evrasia Telecom Ru,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC firm Letkom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Dynamic Service,дата-центр,международный,да,США,Калифорния,да,низкий,нет,да,нет,AS12345,5000,10,нет
Teleoka Kom Ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Boris Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
Web3Tel MSK OOO,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,AS12345,256,5,нет
Orekhovo-Zuevo PPPoE Pool,ISP,локальный,да,Россия,Московская область,да,5,нет,нет,нет,AS12345,256,10,нет
GleSYS AB,дата-центр,международный,да,Швеция,Вестра-Йоталанд,нет,5,нет,нет,нет,AS202053,1024,10,нет
Cifrabar Telekom LLC,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Virtual Station LLC,дата-центр,локальный,да,США,Калифорния,да,5,нет,да,нет,12345,256,10,нет
OOO Sitinet,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Innovation Solutions Center Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,0,нет,нет,нет,AS12345,256,5,нет
Federal State Unitary Enterprise of the Order of the Red Banner of Labour Russian Broad-casting and Notification Network,госорган,национальный,нет,Россия,не указано,да,0,нет,нет,нет,неизвестно,неизвестно,неизвестно,нет
JSC Silknet,ISP,национальный,да,Грузия,Тбилиси,да,5,нет,нет,нет,20485,256,15,нет
Address for clients of Avangard-ADSL,ISP,национальный,да,Россия,Центральный,да,5,нет,нет,нет,AS12345,256,10,нет
WestLAN Ltd,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
TD Sima-Land LLC,корпоративная сеть,национальный,да,Россия,Свердловская область,да,0,нет,нет,нет,AS12345,256,5,нет
Pronet LLC,дата-центр,национальный,да,США,Калифорния,да,5,нет,нет,нет,AS12345,256,10,нет
RTS LLC,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Dynamic Broadband Clients. Nahodka,ISP,локальный,да,Россия,Приморский край,да,5,нет,нет,нет,AS12345,256,10,нет
DSL Pool For Y-Kurilsk Node,ISP,локальный,да,Россия,Сахалинская область,да,5,нет,нет,нет,AS12345,256,10,нет
Teleset ltd.,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC MBO,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Red-Telecom LLC,ISP,национальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
Masterra.ru LLC,корпоративная сеть,национальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
Corporate Internet Service Provider LLC,ISP,национальный,да,США,Калифорния,да,5,нет,нет,нет,12345,1000,10,нет
JSC Intercom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
JSC SKB Kontur Production,корпоративная сеть,национальный,да,Россия,Свердловская область,да,5,нет,нет,нет,AS20485,256,15,нет
East Telecom Ltd.,корпоративная сеть,локальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
NETIS Telecom LLC,ISP,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
LLC Trans Analitica,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
MRF VOLGA SMRA,корпоративная сеть,локальный,да,Россия,Приволжский,да,5,нет,нет,нет,AS12345,256,10,нет
Telecom Ltd.,корпоративная сеть,национальный,да,Великобритания,Лондон,да,5,нет,нет,нет,AS12345,256,10,нет
ZAO Servis-Kontrakt,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,12345,256,10,нет
OOO New Line,корпоративная сеть,локальный,да,Россия,Москва,да,0,нет,нет,нет,12345,256,5,нет
LLC Tvoi Telecom,корпоративная сеть,локальный,да,Россия,Москва,да,5,нет,нет,нет,AS12345,256,10,нет
